id;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status
JYDO0001;Single;2nd phase - general contingent;5;Animation and Multimedia Design;Daytime;1;122.0;1;19;12;5;9;127.3;Yes;No;No;Yes;Male;No;20;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
JYDO0002;Single;International student (bachelor);1;Tourism;Daytime;1;160.0;1;1;3;3;3;142.5;Yes;No;No;No;Male;No;19;No;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate
JYDO0003;Single;1st phase - general contingent;5;Communication Design;Daytime;1;122.0;1;37;37;9;9;124.8;Yes;No;No;No;Male;No;19;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout
JYDO0004;Single;2nd phase - general contingent;2;Journalism and Communication;Daytime;1;122.0;1;38;37;5;3;119.6;Yes;No;No;Yes;Female;No;20;No;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate
JYDO0005;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;100.0;1;37;38;9;9;141.5;No;No;No;Yes;Female;No;45;No;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate
JYDO0006;Married;Over 23 years old;1;Management (evening attendance);Evening;19;133.1;1;37;37;9;7;114.8;No;No;Yes;Yes;Male;No;50;No;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate
JYDO0007;Single;1st phase - general contingent;1;Nursing;Daytime;1;142.0;1;19;38;7;10;128.4;Yes;No;No;Yes;Female;Yes;18;No;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate
JYDO0008;Single;3rd phase - general contingent;4;Tourism;Daytime;1;119.0;1;37;37;9;9;113.1;Yes;No;No;No;Male;No;22;No;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout
JYDO0009;Single;1st phase - general contingent;3;Social Service;Daytime;1;137.0;62;1;1;9;9;129.3;No;No;No;Yes;Female;Yes;21;Yes;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate
JYDO0010;Single;1st phase - general contingent;1;Social Service;Daytime;1;138.0;1;1;19;4;7;123.0;Yes;No;Yes;No;Female;No;18;No;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout
JYDO0011;Single;1st phase - general contingent;1;Advertising and Marketing Management;Daytime;1;139.0;1;38;19;5;7;130.6;Yes;No;No;Yes;Female;No;18;No;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate
JYDO0012;Single;1st phase - general contingent;1;Nursing;Daytime;1;136.0;1;19;38;9;9;119.3;Yes;No;No;Yes;Female;Yes;18;No;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate
JYDO0013;Single;1st phase - general contingent;2;Basic Education;Daytime;1;133.0;1;19;37;4;9;130.2;Yes;No;No;Yes;Female;No;19;No;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout
JYDO0014;Single;Short cycle diploma holders;1;Tourism;Daytime;42;110.0;1;1;1;4;7;111.8;Yes;No;No;Yes;Female;Yes;21;No;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate
JYDO0015;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;149.0;1;38;37;5;5;137.1;Yes;No;No;Yes;Female;Yes;18;No;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate
JYDO0016;Single;1st phase - general contingent;1;Journalism and Communication;Daytime;1;127.0;1;19;37;9;3;120.7;Yes;No;No;Yes;Female;No;20;No;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout
JYDO0017;Single;3rd phase - general contingent;1;Social Service;Daytime;1;137.0;1;19;38;5;8;137.4;Yes;No;No;Yes;Female;No;18;No;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled
JYDO0018;Single;2nd phase - general contingent;2;Nursing;Daytime;1;135.0;1;19;1;5;4;127.3;Yes;No;No;Yes;Female;No;18;No;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate
